"Year","Sex","Hgt","Wgt","Hand","Haircut","GPA","Exercise","Sport","TV","Award","Pulse","Computer","SocialMedia"
"Sophomore","M",66,155,"right",0,2.9,15,"Yes",8,"Olympic",72,"Mac","Snapchat"
"FirstYear","F",69,170,"right",17,3.87,14,"Yes",12,"Olympic",51,"Mac","Instagram"
"FirstYear","F",64,130,"right",40,3.3,5,"No",5,"Olympic",68,"Mac","Instagram"
"FirstYear","M",68,157,"right",35,3.21,10,"Yes",15,"Olympic",54,"Mac","Snapchat"
"FirstYear","M",72,175,"right",20,3.1,2,"No",5,"Nobel",NA,"Mac","Instagram"
"Junior","F",62,150,"right",50,3.3,8,"Yes",5,"Olympic",86,"Mac","Instagram"
"FirstYear","M",70,121,"right",12,3.9,3,"Yes",20,"Nobel",88,"Mac","Instagram"
"FirstYear","M",71,180,"right",20,3.84,7,"No",15,"Nobel",100,"Mac","Instagram"
"FirstYear","M",72,165,"right",10,3.25,3,"No",30,"Nobel",62,"PC","Snapchat"
"FirstYear","F",66,150,"right",40,3.75,3,NA,6,"Nobel",84,"Mac","Snapchat"
"FirstYear","F",68,152,"right",30,3.4,10,"Yes",5,"Olympic",86,"PC","Snapchat"
"FirstYear","M",70,172,"right",35,3.31,11,"Yes",4,"Olympic",65,"Mac","Snapchat"
"Sophomore","F",61,142,"right",60,3.2,5,"No",10,"Olympic",62,"PC","Instagram"
"FirstYear","M",70,165,"right",20,3,10,"Yes",4,"Olympic",46,"Mac","Instagram"
"FirstYear","F",64,125,"right",40,3.6,10,"Yes",2,"Nobel",56,"Mac","Instagram"
"FirstYear","F",68,147,"right",40,3.5,14,"Yes",7,"Olympic",80,"Mac","Snapchat"
"FirstYear","F",61,130,"left",73,3.26,7,"Yes",8,"Nobel",62,"Mac","Snapchat"
"FirstYear","F",66,125,"right",125,3.42,5,"No",2,"Olympic",67,"Mac","Snapchat"
"Junior","F",69,157,"right",20,3.2,5,"No",10,"Nobel",96,"PC","Snapchat"
"Sophomore","M",71,174,"right",15,3.29,12,"Yes",12,"Nobel",63,"Mac","Instagram"
"FirstYear","F",54,125,"right",60,3.65,7,"No",12,"Nobel",75,"Mac","Snapchat"
"FirstYear","M",70,175,"right",10,3.9,15,"Yes",4,"Olympic",64,"Mac","Snapchat"
"FirstYear","M",72,187,"right",15,3.45,6,"No",2,"Olympic",73,"Mac","Snapchat"
"FirstYear","M",72,247,"right",25,3,7,"Yes",5,"Olympic",70,"PC","Instagram"
"FirstYear","F",65,147,"right",5,3.3,4,"No",2,"Academy",NA,"PC","Other"
"FirstYear","M",70,150,"right",25,3.7,2,"No",6,"Nobel",60,"PC","Snapchat"
"FirstYear","F",63,130,"right",0,3.8,7,"Yes",3,"Olympic",82,"PC","Snapchat"
"Junior","M",74,155,"right",25,3.3,2,"No",5,"Nobel",58,"PC","Instagram"
"FirstYear","M",77,220,"right",20,2.8,5,"No",14,"Olympic",68,"Mac","Snapchat"
"Sophomore","M",68,165,"right",0,3.2,17,"Yes",5,"Olympic",58,"Mac","Instagram"
"FirstYear","F",66,150,"right",150,2.5,5,"No",14,"Nobel",80,"Mac","Snapchat"
"FirstYear","F",61,110,"right",NA,3.83,4,"No",10,"Nobel",68,"PC","Snapchat"
"FirstYear","F",68,155,"right",80,3.3,4,"No",12,"Olympic",84,"Mac","Snapchat"
"Sophomore","M",69,150,"right",20,3.4,7.5,"No",4,"Nobel",70,"PC","Snapchat"
"Sophomore","M",73,220,"right",21,2.9,8,"Yes",6,"Olympic",72,"Mac","Instagram"
"FirstYear","M",NA,140,"right",35,3,14,"Yes",10,"Academy",86,"Mac","Instagram"
"FirstYear","F",54,135,"right",25,2.8,10,"Yes",10,"Nobel",112,"PC","Snapchat"
"FirstYear","F",51,104,"right",60,3.3,4,"No",5,"Olympic",74,"Mac","Snapchat"
"Sophomore","M",70,170,"right",20,2.9,2,"No",10,"Academy",48,"Mac","Snapchat"
"FirstYear","F",65,250,"right",20,3.5,5,"No",10,"Nobel",92,NA,"Snapchat"
"Sophomore","M",71,188,"right",30,2.68,10,"Yes",14,"Nobel",62,"PC","Other"
"FirstYear","M",70,134,"right",20,3.5,16,"Yes",4,"Olympic",NA,"PC","Snapchat"
"FirstYear","F",68,125,"right",45,3.75,4,"No",6,"Nobel",72,"Mac","Instagram"
"Sophomore","M",74,185,"right",15,2.62,14,"Yes",15,"Academy",74,"Mac","Instagram"
"FirstYear","F",65,120,"right",16,3.64,10,"Yes",5,"Nobel",82,"Mac","Snapchat"
"FirstYear","M",69,165,"right",25,3.4,12,"Yes",4,"Olympic",62,"Mac","Instagram"
"FirstYear","F",67,120,"right",25,3.94,4,"No",4,"Olympic",96,"PC","Snapchat"
"FirstYear",NA,65,128,"right",20,3.06,6,"No",8,"Olympic",74,"Mac","Snapchat"
"FirstYear","F",70,165,"left",120,2.8,7,"Yes",14,"Olympic",70,"PC","Snapchat"
"FirstYear","F",68,160,"right",200,3.8,30,"Yes",10,"Olympic",80,"Mac","Instagram"
"FirstYear","F",56,121,"right",50,2.5,7,"No",7,"Academy",86,"Mac","Instagram"
"Sophomore","M",70,135,"right",3,2.2,12,"Yes",10,"Academy",70,"PC","Snapchat"
"FirstYear","F",65,139,"right",80,3.75,2,"No",3,"Nobel",107,"Mac","Snapchat"
"Senior","M",71,170,"right",25,3.86,3,"No",3,"Nobel",82,"PC","Instagram"
"FirstYear","M",70,180,"right",13,3.6,15,"No",15,"Olympic",70,"Mac","Snapchat"
"Sophomore","M",71,155,"right",35,3.3,3,"No",4,"Nobel",70,"Mac","Instagram"
"Sophomore","M",70,NA,"right",30,2.8,6,"No",7,"Olympic",108,"Mac","Instagram"
"Junior","M",68,140,"right",16,NA,10,"No",21,"Olympic",46,"Mac","Other"
"Sophomore","F",67,155,"right",60,2.9,2,"No",5,"Nobel",88,"Mac","Instagram"
"FirstYear","M",69,150,"right",15,2.5,5,"No",21,"Olympic",96,"Mac","Snapchat"
"Sophomore","F",54,167,"right",55,3.5,4,"No",24,"Nobel",96,"Mac","Instagram"
"Senior","M",68,155,"right",20,3.4,16,"Yes",1,"Olympic",58,"Mac","Instagram"
"Sophomore","M",69,150,"right",20,3.2,5,"No",5,"Nobel",86,"Mac","Instagram"
"FirstYear","F",62,118,"right",0,3.53,2,NA,7,"Olympic",80,"Mac","Snapchat"
"FirstYear","M",74,185,"left",20,3.66,15,NA,30,"Olympic",88,"Mac","Instagram"
"FirstYear","M",72,175,"right",15,3.95,10,"Yes",5,"Nobel",95,"Mac","Instagram"
"FirstYear","M",71,230,"right",15,3.6,4,"No",10,"Academy",72,"PC","Instagram"
"FirstYear","F",62,118,"right",75,3.4,7,"No",6,"Nobel",96,"Mac","Snapchat"
"FirstYear","F",68,NA,"right",0,NA,7,"No",NA,"Nobel",NA,"PC","Twitter"
"FirstYear","F",60,113,"right",70,3.8,3,"No",8,"Olympic",60,"Mac","Instagram"
"FirstYear","M",72,235,"right",16,3.24,8,"Yes",10,"Nobel",108,"PC","Snapchat"
"FirstYear","F",68,156,"left",30,3.22,2,"No",14,"Olympic",86,"PC","Snapchat"
"FirstYear","M",71,190,"right",22,3.1,20,"Yes",25,"Olympic",60,"Mac","Snapchat"
"Sophomore","M",70,184,"right",28,2.5,6,"Yes",20,"Olympic",58,"PC","Instagram"
"FirstYear","M",NA,155,"right",7,NA,NA,"No",20,"Nobel",34,"Mac","Facebook"
"FirstYear","M",NA,NA,"right",30,NA,NA,"No",10,NA,64,"Mac","Other"
"Sophomore","M",69,165,"right",12,3,4,"Yes",28,"Olympic",90,"PC","Instagram"
"Sophomore","M",72,185,"right",35,3,6,"No",20,"Olympic",62,"Mac","Snapchat"
"FirstYear","M",77,190,"right",20,3,13,"Yes",10,"Olympic",47,"Mac","Twitter"
"Sophomore","F",64,145,"right",30,3.03,4,"Yes",1,"Academy",56,"Mac","Instagram"
"Junior","F",66,175,"right",65,3.2,15,"Yes",5,"Olympic",72,"PC","Snapchat"
"Sophomore","F",65,123,"right",330,NA,0,"No",4,"Nobel",NA,"Mac","Instagram"
"Junior","F",69,145,"right",200,3.78,12,"Yes",5,"Academy",54,"Mac","Snapchat"
"FirstYear","F",61,115,"right",0,3.2,10,"Yes",5,"Olympic",63,"Mac","Instagram"
"FirstYear","F",66,150,"right",25,3.8,12,"Yes",2,"Olympic",52,"Mac","Instagram"
"FirstYear","M",70,167,"right",25,1.5,9,"Yes",5,"Nobel",68,"Mac","Snapchat"
"FirstYear","F",64,127,"right",0,3.36,4,"No",20,"Nobel",70,"Mac","Snapchat"
"FirstYear","M",71,146,"right",30,1.8,8,"No",20,"Olympic",82,"Mac","Instagram"
"Sophomore","F",65,130,"right",130,3.6,13,"No",4,"Olympic",29,"Mac","Snapchat"
"FirstYear","F",64,130,"right",25,3.6,5,"No",15,"Academy",68,"Mac","Snapchat"
"FirstYear","F",65,155,"left",30,3.25,5,"No",4,"Nobel",74,"Mac","Instagram"
"FirstYear","M",71,168,"right",20,3.58,7.5,"No",4,"Nobel",69,"PC","Instagram"
"FirstYear","M",71,NA,"left",15,3.8,3,"No",15,"Nobel",73,"Mac","Snapchat"
"FirstYear","M",67,175,"right",28,3.43,12,"Yes",6,"Academy",56,"Mac","Instagram"
"Junior","M",72,175,"left",25,3.01,3,"No",6,"Nobel",78,"Mac","Facebook"
"Senior","M",74,160,"right",10,3.2,6,"No",10,"Nobel",81,"PC","Instagram"
"Sophomore","M",72,160,"right",70,3,30,"Yes",4,"Nobel",57,"PC","Instagram"
"FirstYear","F",65,155,"right",30,3.11,10,"Yes",6,"Nobel",72,"Mac","Snapchat"
"FirstYear","M",65,163,"right",20,3.89,7,"No",14,"Nobel",70,"Mac","Instagram"
"FirstYear","M",68,160,"right",50,2.8,2,"No",12,"Olympic",81,"Mac","Instagram"
"FirstYear","M",75,175,"left",20,3.3,15,"Yes",5,"Olympic",65,"Mac","Instagram"
"FirstYear","M",72,194,"right",24,3.7,14,"Yes",3,"Nobel",65,"Mac","Instagram"
"FirstYear","M",72,185,"right",10,3.4,10,"Yes",20,"Olympic",72,"Mac","Instagram"
"FirstYear","M",72,195,"right",23,3.4,10,"Yes",10,"Nobel",74,"Mac","Twitter"
"FirstYear","M",70,155,"right",10,3.75,15,"Yes",15,"Olympic",38,"Mac","Instagram"
"FirstYear","F",64,132,"right",20,3.35,2,"No",10,"Nobel",97,"PC","Instagram"
"FirstYear","F",66,150,"right",130,3.3,6,"No",10,"Nobel",43,"PC","Instagram"
"Sophomore","M",71,165,"right",20,3.58,2,"No",10,"Olympic",70,"Mac","Snapchat"
"FirstYear","M",71,185,"right",23,3,17,"Yes",5,"Nobel",68,"PC","Twitter"
"FirstYear","F",69,155,"left",50,3.3,7,"Yes",15,"Olympic",73,"Mac","Snapchat"
"Sophomore","M",68,158,"right",30,3.3,5,"Yes",8,"Nobel",63,"Mac","Instagram"
"FirstYear","F",65,125,"right",20,3.06,2,"Yes",3,"Olympic",68,"PC","Snapchat"
"FirstYear","M",NA,NA,"right",12,NA,NA,"No",5,"Nobel",NA,NA,"Other"
"FirstYear","F",64,131,"right",130,3.1,6,"No",3,"Academy",65,"Mac","Instagram"
"Senior","F",69,160,"right",60,3.5,2,"No",8,"Nobel",80,"Mac","Snapchat"
