time_year,GPA,Tattoo
06,3.85,NA
06,3.56,NA
06,3.5,NA
06,3.4,NA
06,2.9,NA
06,3.5,NA
06,NA,NA
06,NA,NA
06,3.1,NA
06,3.25,NA
06,3.25,NA
06,NA,NA
06,3.2,NA
06,3,NA
06,2.3,NA
06,2.8,NA
06,2.5,NA
06,3.33,NA
06,NA,NA
06,2.9,NA
06,3.4,NA
06,NA,NA
06,3.4,NA
06,3.5,NA
06,3.1,NA
06,2.7,NA
06,3,NA
06,3.25,NA
06,3.5,NA
06,3.12,NA
06,2.89,NA
06,3.25,NA
06,3.3,NA
06,2.8,NA
06,3.1,NA
06,3.2,NA
06,2.5,NA
06,3.5,NA
06,NA,NA
06,2.9,NA
06,3.75,NA
06,2,NA
06,3.14,NA
06,3.25,NA
06,3.6,NA
06,NA,NA
06,2.65,NA
06,3.4,NA
06,3.2,NA
06,NA,NA
06,NA,NA
06,3.35,NA
06,2.8,NA
06,NA,NA
06,3.33,NA
06,2.8,NA
06,3.2,NA
06,NA,NA
06,3.5,NA
06,3.58,NA
06,3.71,NA
06,3.25,NA
06,NA,NA
06,3.34,NA
06,NA,NA
06,3.3,NA
06,3,NA
06,2.6,NA
06,NA,NA
06,2.3,NA
06,3,NA
06,3,NA
06,3.87,NA
06,3.45,NA
06,2.9,NA
06,2.87,NA
06,3.88,NA
06,3.25,NA
06,3.4,NA
06,3.55,NA
06,2.7,NA
06,3,NA
06,2.68,NA
06,3.2,NA
06,3.5,NA
06,3.9,NA
06,3.07,NA
06,3.6,NA
06,3.48,NA
06,3.3,NA
06,3.2,NA
06,3.4,NA
06,2.9,NA
06,3.75,NA
06,2.6,NA
06,3.2,NA
06,NA,NA
06,3,NA
06,3.1,NA
06,3.62,NA
06,3.4,NA
06,3.33,NA
06,3.5,NA
06,NA,NA
06,3,NA
06,2.97,NA
06,3.6,NA
06,3.74,NA
06,NA,NA
06,3.3,NA
06,3.78,NA
06,2.9,NA
06,2.8,NA
06,NA,NA
06,NA,NA
06,3.67,NA
06,NA,NA
06,3.2,NA
06,2.82,NA
06,NA,NA
06,3.4,NA
06,3.64,NA
06,2.7,NA
06,NA,NA
06,3.62,NA
06,NA,NA
06,NA,NA
06,2.75,NA
06,3.5,NA
06,NA,NA
06,3,NA
06,NA,NA
06,NA,NA
06,3,NA
06,3.31,NA
06,3.43,NA
06,3.7,NA
06,NA,NA
06,NA,NA
06,3.4,NA
06,3.3,NA
06,NA,NA
06,3.7,NA
06,3,NA
06,3.61,NA
06,3.85,NA
06,3.4,NA
06,3.55,NA
06,3.3,NA
06,3.15,NA
06,2.7,NA
06,3.4,NA
06,3.56,NA
06,3.34,NA
06,2.5,NA
06,2.5,NA
06,3,NA
06,3.2,NA
06,3.78,NA
06,3,NA
06,3.3,NA
06,NA,NA
06,3.1,NA
06,2.5,NA
06,3,NA
06,2.8,NA
06,2.97,NA
06,3.2,NA
06,NA,NA
06,3.78,NA
06,2.5,NA
06,3.75,NA
06,3.2,NA
06,3.5,NA
06,3.22,NA
06,3.4,NA
06,3.48,NA
06,2.8,NA
06,3.32,NA
06,3.21,NA
06,NA,NA
06,2.58,NA
06,2.6,NA
06,3.29,NA
06,NA,NA
06,3.25,NA
06,2.8,NA
06,3.5,NA
06,3.2,NA
06,2.98,NA
06,3.75,NA
06,3.48,NA
06,2.75,NA
06,3.5,NA
06,3,NA
06,3.5,NA
06,3.5,NA
06,2.9,NA
06,NA,NA
06,2.9,NA
06,2.1,NA
06,NA,NA
06,3.4,NA
06,3.15,NA
06,2.64,NA
06,3.3,NA
06,3.4,NA
06,2.9,NA
06,NA,NA
06,3.5,NA
06,2.9,NA
06,3,NA
06,NA,NA
06,3.5,NA
06,NA,NA
06,2.5,NA
06,NA,NA
06,2.4,NA
06,NA,NA
06,3.17,NA
06,NA,NA
06,2.85,NA
06,3.3,NA
06,3.4,NA
06,NA,NA
06,3.45,NA
06,2.97,NA
06,3.9,NA
06,3.46,NA
06,2.7,NA
06,NA,NA
06,3.3,NA
06,3.7,NA
06,NA,NA
06,NA,NA
06,2,NA
06,NA,NA
06,3.6,NA
06,3.4,NA
06,3.25,NA
06,3.2,NA
06,3.3,NA
06,3.1,NA
06,3.47,NA
06,3,NA
06,3.2,NA
06,NA,NA
06,2.6,NA
06,NA,NA
06,3.4,NA
06,NA,NA
06,2.8,NA
06,NA,NA
06,3.4,NA
06,2.7,NA
06,2.95,NA
06,NA,NA
06,3.2,NA
06,NA,NA
06,NA,NA
06,3,NA
07,3,NA
07,3.25,NA
07,2.9,NA
07,3.15,NA
07,3.72,NA
07,3.6,NA
07,3,NA
07,3.6,NA
07,3.4,NA
07,3,NA
07,3.3,NA
07,NA,NA
07,3.2,NA
07,3.83,NA
07,NA,NA
07,3,NA
07,2.5,NA
07,3.2,NA
07,3.3,NA
07,3,NA
07,NA,NA
07,3.85,NA
07,3.8,NA
07,2.6,NA
07,3.3,NA
07,3.02,NA
07,3.2,NA
07,3.5,NA
07,3.69,NA
07,3.67,NA
07,2.75,NA
07,3,NA
07,NA,NA
07,3.33,NA
07,2.5,NA
07,3.35,NA
07,NA,NA
07,NA,NA
07,3.4,NA
07,3.8,NA
07,3.3,NA
07,NA,NA
07,3.4,NA
07,3.3,NA
07,3.4,NA
07,3.22,NA
07,NA,NA
07,3.26,NA
07,2.2,NA
07,2.9,NA
07,3.33,NA
07,3.4,NA
07,NA,NA
