Greek,Sport,SocialMedia,GPA
No,Yes,TikTok,NA
No,No,TikTok,3.5
No,No,Instagram,3.75
No,Yes,Instagram,3.4
No,No,Instagram,3.5
No,No,Snapchat,NA
No,Yes,Snapchat,NA
No,Yes,Instagram,NA
No,No,Snapchat,3.7
No,Yes,Snapchat,NA
No,Yes,Instagram,3
No,Yes,Instagram,NA
No,No,Instagram,NA
No,No,Snapchat,3.68
No,Yes,Instagram,NA
Planning,Yes,Instagram,3.4
No,No,Instagram,NA
No,Yes,Instagram,NA
Yes,Yes,Instagram,3
Planning,Yes,Instagram,3.44
No,Yes,Instagram,3.19
No,Yes,Instagram,NA
No,No,Snapchat,NA
No,No,TikTok,2.7
No,Yes,Snapchat,NA
Planning,Yes,Instagram,3.8
No,No,Snapchat,NA
No,No,TikTok,NA
No,No,Snapchat,3.6
No,No,Instagram,NA
No,Yes,Snapchat,3.9
No,No,Snapchat,3.6
No,Yes,Instagram,NA
No,No,Snapchat,3.87
No,Yes,Snapchat,3
No,No,Snapchat,3.4
No,No,Snapchat,NA
No,Yes,Instagram,NA
No,Yes,Instagram,3.85
No,Yes,TikTok,3.5
Planning,No,Snapchat,3.6
No,No,Snapchat,NA
No,Yes,Instagram,3.67
Planning,No,Snapchat,NA
No,Yes,Instagram,NA
No,Yes,TikTok,3.8
No,Yes,Snapchat,NA
No,Yes,Twitter,NA
No,Yes,Snapchat,2.75
No,No,Instagram,3
No,No,Snapchat,3.71
No,Yes,Instagram,NA
No,No,TikTok,3.08
No,No,Instagram,2.98
Planning,No,Instagram,NA
No,No,Other,3.43
No,No,TikTok,3.3
No,No,Twitter,NA
No,No,Snapchat,3.4
No,Yes,TikTok,3.3
No,No,Instagram,3.83
No,No,Snapchat,3
No,No,Snapchat,3.1
No,Yes,Twitter,3.3
No,Yes,Snapchat,NA
Planning,Yes,Snapchat,2.7
No,Yes,Snapchat,3.2
No,No,Instagram,NA
No,Yes,Instagram,NA
No,Yes,TikTok,3
No,No,Snapchat,NA
No,Yes,Snapchat,NA
No,Yes,Snapchat,NA
No,No,Instagram,3.8
Planning,Yes,Snapchat,NA
Planning,Yes,Instagram,3.56
No,Yes,Snapchat,NA
No,No,Snapchat,3.48
No,No,Other,3.1
Planning,Yes,Instagram,NA
Planning,No,Snapchat,3.3
No,Yes,Instagram,3
No,No,Snapchat,NA
No,Yes,Snapchat,3.6
No,No,Instagram,NA
No,Yes,TikTok,NA
No,No,Snapchat,NA
No,No,Facebook,NA
Planning,Yes,Instagram,NA
No,Yes,Snapchat,3.8
No,Yes,Twitter,2.7
No,No,Snapchat,NA
No,Yes,Snapchat,NA
No,Yes,Instagram,NA
No,Yes,TikTok,NA
No,Yes,Snapchat,NA
No,No,Snapchat,NA
No,Yes,Snapchat,NA
Planning,Yes,Snapchat,2.9
No,No,Instagram,3.3
No,No,Snapchat,NA
No,No,Instagram,NA
Planning,No,Snapchat,2.6
No,No,Instagram,NA
Planning,Yes,Instagram,3.5
No,Yes,Snapchat,NA
No,Yes,Instagram,NA
No,No,Snapchat,3.71
No,No,Twitter,NA
No,No,TikTok,2.41
No,No,Snapchat,NA
No,Yes,Snapchat,4
Yes,NA,Snapchat,NA
No,Yes,Instagram,NA
No,No,Instagram,3.6
No,Yes,Instagram,3.2
Planning,No,Instagram,NA
No,Yes,Snapchat,NA
Planning,No,TikTok,3.62
Planning,Yes,Snapchat,3.65
No,No,TikTok,NA
No,Yes,Twitter,3.51
No,No,Snapchat,NA
No,Yes,Snapchat,3.6
No,No,Facebook,3.2
No,No,Snapchat,3.78
No,No,Snapchat,3.9
No,Yes,Snapchat,NA
No,No,Snapchat,3.75
No,Yes,Snapchat,NA
No,No,Instagram,3.5
No,Yes,Snapchat,2.9
No,Yes,Instagram,NA
Planning,No,Instagram,NA
Planning,Yes,Instagram,NA
No,Yes,Snapchat,NA
No,No,Snapchat,3.7
No,Yes,Instagram,3.92
No,No,Snapchat,3.2
No,Yes,Snapchat,3.3
No,Yes,Snapchat,3.9
Planning,No,Instagram,3
No,Yes,Instagram,3.86
Planning,No,Instagram,3.2
No,No,Snapchat,3.2
No,No,Instagram,3.4
No,No,TikTok,3.7
No,NA,Instagram,NA
Yes,No,Snapchat,3.7
No,No,Instagram,3.89
No,No,Snapchat,3
No,Yes,Snapchat,3.4
No,No,Instagram,3.75
No,No,Snapchat,NA
No,No,Instagram,3.9
Planning,No,Snapchat,3.41
No,Yes,TikTok,3.3
No,Yes,TikTok,1.9
Yes,No,TikTok,3.82
No,No,Snapchat,3.4
Planning,Yes,Snapchat,3
No,Yes,Instagram,3
No,No,Instagram,3
No,No,TikTok,4
No,Yes,Snapchat,4
No,Yes,Snapchat,3.56
No,No,Instagram,3.5
Planning,No,Snapchat,NA
No,Yes,Snapchat,NA
Planning,No,Snapchat,2.6
No,Yes,Snapchat,NA
No,Yes,Instagram,NA
No,No,Snapchat,NA
No,No,TikTok,3.83
No,No,Instagram,2.7
No,Yes,Instagram,NA
No,No,Snapchat,NA
No,No,Snapchat,3.5
Planning,No,Instagram,2.9
No,Yes,Snapchat,NA
No,No,TikTok,NA
No,No,Snapchat,3
Yes,NA,Instagram,2.7
No,Yes,Instagram,2.5
No,No,Snapchat,3.2
No,Yes,None,NA
No,No,Snapchat,NA
Planning,No,Instagram,3.1
No,Yes,Twitter,NA
No,No,Snapchat,2.03
No,No,Snapchat,3.1
No,Yes,Snapchat,NA
No,No,Instagram,NA
No,Yes,Snapchat,NA
Yes,No,Snapchat,3.56
No,Yes,Snapchat,3.3
No,Yes,Snapchat,3.1
No,No,None,3.7
No,No,Instagram,3.5
No,Yes,NA,NA
No,No,Snapchat,NA
No,No,TikTok,3.3
No,No,TikTok,2.6
No,No,Snapchat,NA
No,No,Snapchat,NA
Planning,No,Snapchat,NA
No,No,Snapchat,3.62
No,No,TikTok,3.58
Planning,Yes,Instagram,3.1
No,Yes,Snapchat,3.1
No,No,Snapchat,NA
No,No,TikTok,3.7
No,Yes,Snapchat,3.1
No,No,Twitter,NA
No,No,Other,3.6
No,No,TikTok,3.5
Planning,Yes,Snapchat,NA
NA,NA,NA,NA
No,No,TikTok,NA
No,No,Instagram,NA
