Greek,Sport,SocialMedia,GPA
No,Yes,Snapchat,3
No,Yes,Instagram,3.7
Planning,Yes,Instagram,2.6
Planning,Yes,Snapchat,2.25
No,No,Instagram,3.5
No,Yes,Snapchat,3.1
No,No,Instagram,3.6
No,No,Snapchat,3.7
No,No,Instagram,3
No,Yes,Twitter,3.3
No,No,Snapchat,NA
No,Yes,Snapchat,3.78
No,Yes,Instagram,3.7
No,No,Instagram,2.85
No,No,Snapchat,2.5
No,Yes,Snapchat,3.75
No,Yes,TikTok,3.9
No,Yes,Instagram,3.8
Planning,No,NA,3.25
Yes,Yes,Snapchat,3.8
No,Yes,TikTok,NA
No,NA,TikTok,3
No,Yes,Snapchat,3.78
No,No,Snapchat,3.1
No,No,TikTok,3.7
No,No,Instagram,3.5
No,Yes,Instagram,3.3
No,Yes,Instagram,3.75
No,No,Instagram,4
No,No,Instagram,3.8
No,No,Instagram,3.19
No,No,Snapchat,3.69
No,Yes,Instagram,3.66
No,Yes,Instagram,3.72
No,Yes,Instagram,4
No,No,Instagram,3.5
No,No,Instagram,3.5
No,Yes,Instagram,3.62
Planning,Yes,TikTok,3.5
No,No,Instagram,2.8
No,Yes,TikTok,3.92
No,Yes,Instagram,2
Planning,No,Snapchat,3
No,No,Snapchat,3.1
No,Yes,Instagram,3
Planning,Yes,TikTok,3.5
No,No,Snapchat,2.4
Planning,No,Snapchat,3
No,Yes,Snapchat,3.72
No,No,Instagram,2.93
No,Yes,Instagram,3.47
No,Yes,Twitter,3.7
No,No,Instagram,3.5
No,Yes,Snapchat,3.5
No,No,Instagram,3.5
No,No,Instagram,2
No,Yes,Instagram,3.5
No,Yes,Snapchat,3.4
No,Yes,Facebook,3
No,Yes,Instagram,2.2
No,Yes,Other,3.86
No,No,Snapchat,3.1
Planning,NA,Instagram,2.6
No,Yes,Twitter,3.2
No,No,Facebook,3.2
No,No,TikTok,3.25
No,No,Instagram,3.38
Planning,No,Snapchat,3
No,Yes,Instagram,3.6
No,No,Instagram,3.6
No,Yes,TikTok,3.4
Planning,Yes,TikTok,3.3
Planning,No,TikTok,3.5
No,No,Other,4
No,No,Snapchat,3
Planning,No,Snapchat,3
No,No,Snapchat,3
No,Yes,Instagram,2.5
No,Yes,Instagram,3.75
No,No,Instagram,3.8
No,Yes,Instagram,3.3
Planning,Yes,Snapchat,2.8
No,No,Snapchat,3.5
No,No,Instagram,NA
No,Yes,Instagram,3.4
No,No,Instagram,3.9
No,No,Snapchat,3.6
No,No,Instagram,3.5
No,Yes,TikTok,3
Yes,No,TikTok,NA
Planning,No,Snapchat,3.53
Yes,No,Instagram,3.21
No,No,TikTok,NA
No,No,Instagram,3
No,No,Instagram,3
Yes,No,Snapchat,3.5
Planning,No,TikTok,3.75
No,Yes,Snapchat,3.9
No,No,TikTok,3.15
No,No,Snapchat,NA
Yes,No,TikTok,3.7
No,No,Instagram,3
No,No,Instagram,3.25
No,Yes,Snapchat,3.34
No,No,TikTok,2.6
Planning,Yes,TikTok,2.5
No,Yes,Instagram,3.11
No,No,Snapchat,3.75
No,Yes,Snapchat,3
No,No,Twitter,2.5
No,Yes,Snapchat,3.89
No,No,Snapchat,NA
No,No,TikTok,3.7
No,No,Snapchat,3.71
No,Yes,TikTok,2.8
No,Yes,Instagram,2.9
No,Yes,TikTok,3.3
No,Yes,TikTok,1.95
Planning,Yes,Instagram,2.7
Planning,No,TikTok,3
No,Yes,TikTok,3
No,Yes,TikTok,2.7
Yes,No,Instagram,3.75
No,No,Snapchat,3.6
No,Yes,Snapchat,2.75
No,No,Snapchat,2.9
No,No,Snapchat,3.4
No,No,TikTok,2.7
No,Yes,TikTok,3.9
No,Yes,Snapchat,0.82
No,No,TikTok,3.5
No,Yes,Snapchat,3.65
No,No,Snapchat,3.5
No,No,TikTok,3.6
No,No,TikTok,2.89
No,Yes,Snapchat,2.75
No,Yes,Instagram,3.49
Planning,No,Snapchat,NA
No,No,Snapchat,3.5
No,Yes,Instagram,3.75
No,Yes,Snapchat,NA
No,No,Snapchat,3.7
No,Yes,Instagram,3
No,Yes,Snapchat,3.71
No,No,TikTok,3.1
No,No,TikTok,3.4
No,No,Snapchat,3.4
No,No,Instagram,2.75
No,Yes,Snapchat,4
No,No,TikTok,3.4
No,Yes,TikTok,2.75
No,No,TikTok,3.5
No,No,Other,3.48
No,No,Snapchat,3.23
No,Yes,Snapchat,3.79
Planning,Yes,Snapchat,2.57
No,No,Snapchat,3.13
No,Yes,TikTok,3
No,Yes,Instagram,2.8
No,No,Snapchat,3.75
No,No,TikTok,3.05
No,Yes,Snapchat,3.18
No,Yes,Snapchat,2.9
No,No,Instagram,3.25
No,No,Snapchat,3.5
No,No,Snapchat,2.96
No,No,Instagram,NA
No,No,Snapchat,3.4
No,Yes,Snapchat,2.8
No,Yes,Snapchat,NA
No,No,TikTok,NA
No,No,Snapchat,NA
Planning,Yes,Snapchat,3.58
Planning,Yes,Snapchat,3.1
No,No,Snapchat,2.82
No,No,Instagram,3.3
No,Yes,Instagram,3.83
Yes,Yes,Instagram,3.4
No,No,Snapchat,3.9
Planning,No,Instagram,3.6
No,No,Snapchat,3.3
No,Yes,Instagram,3.25
No,No,Instagram,1.68
Planning,No,Instagram,3.1
No,No,Instagram,2.58
No,Yes,Instagram,3.5
No,No,Snapchat,3.7
No,No,TikTok,3.8
Planning,No,Snapchat,3
No,No,Instagram,3.9
No,Yes,Snapchat,3.5
