Term,Discipline,Course,Enrollment,Section
F14,CS,140,24,1
F14,CS,140,23,2
F14,CS,140,25,3
F14,CS,219,24,1
F14,CS,256,18,1
F14,CS,362,10,1
F14,Math,110,24,1
F14,Math,134,14,1
F14,Math,135,28,1
F14,Math,135,43,2
F14,Math,135,24,3
F14,Math,135,32,4
F14,Math,136,13,1
F14,Math,136,22,2
F14,Math,136,22,3
F14,Math,205,22,1
F14,Math,205,19,2
F14,Math,217,42,1
F14,Math,230,23,1
F14,Math,280,28,1
F14,Math,305,14,1
F14,Math,316,9,1
F14,Math,318,36,1
F14,Math,370,6,1
F14,Stat,113,29,1
F14,Stat,113,29,2
F14,Stat,113,40,3
F14,Stat,113,28,4
F14,Stat,113,28,5
F14,Stat,113,27,6
F14,Stat,113,28,7
F14,Stat,213,25,1
F14,Stat,226,28,1
F14,Stat,325,18,1
F14,Stat,325,18,2
F15,CS,140,24,1
F15,CS,140,25,2
F15,CS,140,23,3
F15,CS,219,20,1
F15,CS,256,26,1
F15,CS,345,10,1
F15,CS,362,6,1
F15,Math,110,29,1
F15,Math,134,26,1
F15,Math,135,28,1
F15,Math,135,51,2
F15,Math,135,26,3
F15,Math,135,30,4
F15,Math,136,19,1
F15,Math,136,9,2
F15,Math,136,13,3
F15,Math,205,23,1
F15,Math,205,24,2
F15,Math,206,8,1
F15,Math,217,35,1
F15,Math,280,40,1
F15,Math,305,20,1
F15,Math,316,25,1
F15,Math,323,9,1
F15,Math,450,10,1
F15,Stat,113,27,1
F15,Stat,113,26,2
F15,Stat,113,47,3
F15,Stat,113,26,4
F15,Stat,113,27,5
F15,Stat,113,25,6
F15,Stat,113,35,7
F15,Stat,113,27,8
F15,Stat,201,14,1
F15,Stat,213,27,1
F15,Stat,213,25,2
F15,Stat,240,13,1
F15,Stat,300,13,1
F15,Stat,325,33,1
F16,CS,140,24,1
F16,CS,140,26,2
F16,CS,140,23,3
F16,CS,219,17,1
F16,CS,256,16,1
F16,CS,300,18,1
F16,CS,362,21,1
F16,Math,110,25,1
F16,Math,134,22,1
F16,Math,135,23,1
F16,Math,135,38,2
F16,Math,135,14,3
F16,Math,135,32,4
F16,Math,135,12,5
F16,Math,136,11,1
F16,Math,136,29,2
F16,Math,136,15,3
F16,Math,205,29,1
F16,Math,205,22,2
F16,Math,217,14,1
F16,Math,217,25,2
F16,Math,280,17,1
F16,Math,280,15,2
F16,Math,305,24,1
F16,Math,316,13,1
F16,Math,318,29,1
F16,Stat,113,27,1
F16,Stat,113,33,2
F16,Stat,113,27,3
F16,Stat,113,24,4
F16,Stat,113,29,5
F16,Stat,113,28,6
F16,Stat,201,21,1
F16,Stat,213,27,1
F16,Stat,226,32,1
F16,Stat,325,19,1
F16,Stat,325,18,2
F17,CS,140,24,1
F17,CS,140,23,2
F17,CS,140,23,3
F17,CS,140,19,4
F17,CS,219,14,1
F17,CS,256,24,1
F17,CS,256,10,2
