"course_id","prof_id","rank","ethnic_gender","language","age","cls_perc_eval","cls_did_eval","cls_students","cls_level","cls_profs","cls_credits","bty_f1lower","bty_f1upper","bty_f2upper","bty_m1lower","bty_m1upper","bty_m2upper","bty_avg","pic_outfit","pic_color","course_1_score","course_2_score"
1,1,"tenure track","minority -:- female","english",36,55.81395,24,43,"upper","single","multi credit",5,7,6,2,4,6,5,"not formal","color",4.7,NA
2,1,"tenure track","minority -:- female","english",36,68.8,86,125,"upper","single","multi credit",5,7,6,2,4,6,5,"not formal","color",NA,4.1
5,2,"tenured","not minority -:- male","english",59,85,17,20,"upper","multiple","multi credit",4,4,2,2,3,3,3,"not formal","color",4.6,NA
6,2,"tenured","not minority -:- male","english",59,87.5,35,40,"upper","multiple","multi credit",4,4,2,2,3,3,3,"not formal","color",NA,4.3
8,3,"tenured","not minority -:- male","english",51,100,55,55,"upper","single","multi credit",5,2,5,2,3,3,3.333,"not formal","color",4.1,NA
9,3,"tenured","not minority -:- male","english",51,56.92308,111,195,"upper","single","multi credit",5,2,5,2,3,3,3.333,"not formal","color",NA,3.4
10,4,"tenured","not minority -:- female","english",40,86.95652,40,46,"upper","single","multi credit",2,5,4,3,3,2,3.167,"not formal","color",4.5,NA
11,4,"tenured","not minority -:- female","english",40,88.88889,24,27,"upper","single","multi credit",2,5,4,3,3,2,3.167,"not formal","color",NA,3.8
18,5,"tenure track","not minority -:- female","english",31,87.5,42,48,"upper","multiple","multi credit",7,9,9,7,6,6,7.333,"not formal","color",4.8,NA
19,5,"tenure track","not minority -:- female","english",31,90.90909,40,44,"upper","multiple","multi credit",7,9,9,7,6,6,7.333,"not formal","color",NA,4.6
24,6,"tenured","not minority -:- male","english",62,64.53901,182,282,"upper","multiple","multi credit",6,6,5,5,5,6,5.5,"formal","color",4.4,NA
25,6,"tenured","not minority -:- male","english",62,54.79452,160,292,"upper","multiple","multi credit",6,6,5,5,5,6,5.5,"formal","color",NA,4.6
31,7,"tenure track","not minority -:- female","english",33,80.48781,33,41,"upper","single","multi credit",4,4,5,4,4,4,4.167,"not formal","color",4.4,NA
32,7,"tenure track","not minority -:- female","english",33,85.29412,29,34,"upper","single","multi credit",4,4,5,4,4,4,4.167,"not formal","color",NA,4.3
36,8,"tenured","not minority -:- female","english",51,60.97561,25,41,"upper","multiple","multi credit",4,6,6,2,3,3,4,"not formal","color",3.4,NA
37,8,"tenured","not minority -:- female","english",51,95.45454,21,22,"upper","multiple","multi credit",4,6,6,2,3,3,4,"not formal","color",NA,4.5
43,9,"tenure track","not minority -:- female","english",33,80,48,60,"upper","multiple","multi credit",3,7,5,5,3,5,4.667,"not formal","color",4.8,NA
44,9,"tenure track","not minority -:- female","english",33,87.87878,29,33,"upper","single","multi credit",3,7,5,5,3,5,4.667,"not formal","color",NA,4.8
50,10,"teaching","not minority -:- male","english",47,84.21053,16,19,"upper","single","multi credit",5,7,6,3,6,6,5.5,"not formal","color",4,NA
51,10,"teaching","not minority -:- male","english",47,75,12,16,"upper","multiple","multi credit",5,7,6,3,6,6,5.5,"not formal","color",NA,4.3
60,11,"tenure track","minority -:- male","non-english",35,72,18,25,"upper","single","multi credit",5,7,4,2,4,7,4.833,"not formal","color",3.6,NA
61,11,"tenure track","minority -:- male","non-english",35,90.90909,30,33,"upper","single","multi credit",5,7,4,2,4,7,4.833,"not formal","color",NA,3.7
63,12,"teaching","not minority -:- male","english",37,88.23529,30,34,"upper","multiple","multi credit",4,5,5,3,5,4,4.333,"not formal","color",4.1,NA
64,12,"teaching","not minority -:- male","english",37,61.90476,13,21,"upper","single","multi credit",4,5,5,3,5,4,4.333,"not formal","color",NA,4.2
68,13,"tenured","not minority -:- male","english",42,70,28,40,"upper","multiple","multi credit",4,7,5,4,4,5,4.833,"not formal","color",4.1,NA
69,13,"tenured","not minority -:- male","english",42,60,18,30,"upper","multiple","multi credit",4,7,5,4,4,5,4.833,"not formal","color",NA,4.2
75,14,"tenured","not minority -:- male","non-english",49,83.33334,30,36,"upper","multiple","multi credit",3,3,5,1,7,5,4,"not formal","color",3.5,NA
76,14,"tenured","not minority -:- male","non-english",49,83.78378,31,37,"upper","single","multi credit",3,3,5,1,7,5,4,"not formal","color",NA,4.2
79,15,"tenure track","not minority -:- female","english",37,82.14286,23,28,"upper","single","multi credit",6,7,7,5,4,4,5.5,"not formal","color",2.9,NA
80,15,"tenure track","not minority -:- female","english",37,65.38461,34,52,"upper","multiple","multi credit",6,7,7,5,4,4,5.5,"not formal","color",NA,3.3
83,16,"tenured","not minority -:- male","english",45,69.69697,23,33,"upper","single","multi credit",2,4,3,5,4,7,4.167,"not formal","color",4.6,NA
84,16,"tenured","not minority -:- male","english",45,25.42373,45,177,"lower","single","multi credit",2,4,3,5,4,7,4.167,"not formal","color",NA,4.2
89,17,"teaching","not minority -:- female","english",56,65.85366,27,41,"upper","single","multi credit",3,4,1,2,2,3,2.5,"not formal","color",4.4,NA
90,17,"teaching","not minority -:- female","english",56,88.63636,39,44,"upper","single","multi credit",3,4,1,2,2,3,2.5,"not formal","color",NA,4.8
94,18,"teaching","not minority -:- male","english",48,74.07407,100,135,"lower","multiple","multi credit",3,5,6,4,4,4,4.333,"not formal","color",4,NA
95,18,"teaching","not minority -:- male","english",48,60.60606,20,33,"upper","multiple","multi credit",3,5,6,4,4,4,4.333,"not formal","color",NA,4.2
102,19,"tenured","not minority -:- female","english",46,80.64516,25,31,"upper","multiple","multi credit",4,4,5,2,6,5,4.333,"not formal","black&white",4.9,NA
103,19,"tenured","not minority -:- female","english",46,93.33334,14,15,"lower","multiple","multi credit",4,4,5,2,6,5,4.333,"not formal","black&white",NA,5
111,20,"teaching","not minority -:- female","english",57,60.71429,17,28,"upper","multiple","multi credit",5,4,4,5,2,6,4.333,"not formal","color",3.5,NA
112,20,"teaching","not minority -:- female","english",57,43.47826,10,23,"upper","multiple","multi credit",5,4,4,5,2,6,4.333,"not formal","color",NA,3.9
121,21,"teaching","not minority -:- female","english",52,86.36364,19,22,"upper","single","multi credit",6,6,4,2,4,7,4.833,"not formal","color",3.7,NA
122,21,"teaching","not minority -:- female","english",52,87.09677,27,31,"upper","multiple","multi credit",6,6,4,2,4,7,4.833,"not formal","color",NA,4.1
128,23,"tenured","not minority -:- male","english",62,76.92308,30,39,"upper","single","multi credit",4,3,4,1,2,4,3,"not formal","color",4.3,NA
