start_date,end_date,pollster,sponsor,sample_size,population,party,tracking,text,very,somewhat,not_very,not_at_all,url
1/27/20,1/29/20,Morning Consult,,2202,a,all,FALSE,How concerned are you that the coronavirus will impact the following? U.S. economy,19,33,23,11,https://morningconsult.com/wp-content/uploads/2020/02/200167_crosstabs_CORONAVIRUS_Adults_v2_JB-1.pdf
1/31/20,2/2/20,Morning Consult,,2202,a,all,FALSE,How concerned are you that the coronavirus will impact the following? U.S. economy,26,32,25,7,https://morningconsult.com/wp-content/uploads/2020/02/200191_crosstabs_CORONAVIRUS_Adults_v2_JB-1.pdf
2/2/20,2/4/20,YouGov,Economist,1500,a,all,FALSE,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing coronavirus?",13,26,43,18,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/73jqd6u5mv/econTabReport.pdf
2/7/20,2/9/20,Morning Consult,,2200,a,all,FALSE,How concerned are you that the coronavirus will impact the following? U.S. economy,23,32,24,9,https://morningconsult.com/wp-content/uploads/2020/02/200214_crosstabs_CORONAVIRUS_Adults_v4_JB.pdf
2/7/20,2/9/20,YouGov,Huffington Post,1000,a,all,FALSE,How concerned are you that you or someone in your family will contract the coronavirus?,11,24,33,20,https://projects.fivethirtyeight.com/polls/20200318_National_HPYouGov_coronavirus_1.pdf
2/9/20,2/11/20,YouGov,Economist,1500,a,all,FALSE,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing coronavirus?",11,28,39,22,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/79zfxkws33/econTabReport.pdf
2/13/20,2/16/20,AP-NORC,,1074,a,all,FALSE,How worried are you about you or someone in your family being infected with the Coronavirus?,22,23,37,19,http://www.apnorc.org/PDFs/Omnibus%202020/February/topline_omni_feb_full_v3.pdf
2/13/20,2/18/20,Kaiser Family Foundation,,1207,a,all,FALSE,"How concerned, if at all, are you that the Coronavirus will have a negative impact on the U.S. economy?",22,35,28,15,http://files.kff.org/attachment/Topline-KFF-Health-Tracking-Poll-February-2020
2/13/20,2/18/20,Kaiser Family Foundation,,1207,a,all,FALSE,"How concerned, if at all, are you that you or someone in your family will get sick from the Coronavirus?",22,21,33,23,http://files.kff.org/attachment/Topline-KFF-Health-Tracking-Poll-February-2020
2/16/20,2/18/20,YouGov,Economist,1500,a,all,FALSE,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing coronavirus?",10,28,42,19,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/m3wzkd0n59/econTabReport.pdf
2/23/20,2/25/20,YouGov,Economist,1500,a,all,FALSE,"Taking into consideration both your risk of contracting it and the seriousness of the illness, how worried are you personally about experiencing coronavirus?",10,30,40,20,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zye3phsf7t/econTabReport.pdf
2/24/20,2/26/20,Morning Consult,,2200,a,all,FALSE,How concerned are you that the coronavirus will impact the following? U.S. economy,32,37,18,6,https://morningconsult.com/wp-content/uploads/2020/02/200260_crosstabs_CORONAVIRUS_Adults_v2_JB.pdf
2/24/20,2/26/20,Morning Consult,,1994,rv,all,FALSE,How concerned are you that the coronavirus will impact the following? U.S. economy,32,39,17,5,https://morningconsult.com/wp-content/uploads/2020/02/200260_crosstabs_CORONAVIRUS_RVs_v2_JB.pdf
2/27/20,2/27/20,SurveyMonkey Audience,Business Insider,1051,a,all,FALSE,How concerned are you that coronavirus will have an impact on the economy as a whole?,41,37,14,5,https://markets.businessinsider.com/news/stocks/large-majority-of-americans-economy-massive-hit-from-coronavirus-2020-3-1028959079
2/26/20,2/28/20,YouGov,Huffington Post,1000,a,all,FALSE,How concerned are you that you or someone in your family will contract the coronavirus?,16,31,27,16,https://projects.fivethirtyeight.com/polls/20200318_National_HPYouGov_coronavirus_2.pdf
2/28/20,3/1/20,Morning Consult,,2201,a,all,FALSE,How concerned are you that the coronavirus will impact the following? U.S. economy,38,33,13,5,https://morningconsult.com/wp-content/uploads/2020/03/200271_crosstabs_CORONAVIRUS_Adults_v2_JB-1.pdf
3/2/20,3/3/20,PPP,Protect Our Care,866,rv,all,FALSE,"How concerned are you about the impact the coronavirus outbreak will have on the economy: very concerned, somewhat concerned, not too concerned, or not concerned at all?",36,36,21,6,https://www.protectourcare.org/wp-content/uploads/2020/03/Coronavirus-Poll-Memo-And-Results-3-20.pdf
3/2/20,3/3/20,PPP,Protect Our Care,866,rv,all,FALSE,"How concerned are you that you or someone in your family will get sick from the coronavirus: very concerned, somewhat concerned, not too concerned, or not concerned at all?",24,33,30,12,https://www.protectourcare.org/wp-content/uploads/2020/03/Coronavirus-Poll-Memo-And-Results-3-20.pdf
