Start,distance,steps,flights,active_cals,stepgoal
11/28/18,0.929998972,1884.621281,0,57.78656826,Step Goal Fail
11/29/18,4.640739086,8952.978943,18,509.1524317,Step Goal Fail
11/30/18,6.053471511,11665,12,598.692,Step Goal Complete!
12/1/18,6.796771258,12117,6,660.8560478,Step Goal Complete!
12/2/18,4.611580808,8924.766717,1,526.9169522,Step Goal Fail
12/3/18,3.961053787,7205,2,549.555,Step Goal Fail
12/4/18,6.597521653,12483.39723,5,669.604,Step Goal Complete!
12/5/18,4.909418579,9257.9357,6,557.1042267,Step Goal Fail
12/6/18,7.504792709,14208,13,997.1375975,Step Goal Complete!
12/7/18,4.274131206,8269.46084,8,532.6291758,Step Goal Fail
12/8/18,6.457724209,8834.269279,0,775.4614921,Step Goal Fail
12/9/18,2.806838623,5265,0,340.8510088,Step Goal Fail
12/10/18,8.808678727,13170,8,982.4457769,Step Goal Complete!
12/11/18,4.026818045,7567,8,499.820923,Step Goal Fail
12/12/18,4.977676188,9247,3,555.9943778,Step Goal Fail
12/13/18,3.47045462,6331,0,392.8344214,Step Goal Fail
12/14/18,2.885332833,5388.893036,5,448.0897156,Step Goal Fail
12/15/18,11.20563375,21223.71518,27,1090.938542,Step Goal Complete!
12/16/18,8.843438546,16376,79,1029.00611,Step Goal Complete!
12/17/18,2.498693087,4820,7,363.7849384,Step Goal Fail
12/18/18,1.907144426,3662,8,324.7936941,Step Goal Fail
12/19/18,6.83834099,9592,4,796.274,Step Goal Fail
12/20/18,1.589470242,3023,7,318.853,Step Goal Fail
12/21/18,3.128806578,5381,5,407.5001665,Step Goal Fail
12/22/18,2.232078713,4203.768465,8,435.1952819,Step Goal Fail
12/23/18,2.40012023,4286,8,353.4515516,Step Goal Fail
12/24/18,2.333732688,4182,2,382.4865037,Step Goal Fail
12/25/18,3.170580387,6054,13,447.7854963,Step Goal Fail
12/26/18,1.7301747,3175,5,311.253609,Step Goal Fail
12/27/18,5.117346955,9585.115923,10,517.329391,Step Goal Fail
12/28/18,1.00183717,1866,9,258.542,Step Goal Fail
12/29/18,3.48722705,6570.423599,6,537.8130016,Step Goal Fail
12/30/18,1.213602815,2284.960354,4,316.5359984,Step Goal Fail
12/31/18,6.26427953,11588.27157,7,716.655255,Step Goal Complete!
1/1/19,0.802238724,1552.72843,4,236.447745,Step Goal Fail
1/2/19,3.067922819,5984,6,356.548,Step Goal Fail
1/3/19,4.010534823,7658,11,429.3385569,Step Goal Fail
1/4/19,9.678730857,14442,0,1065.548443,Step Goal Complete!
1/5/19,3.529448601,6127,5,441.870475,Step Goal Fail
1/6/19,9.048971112,13054.57504,1,1021.671525,Step Goal Complete!
